[463, 'ENSMUSG00000101206.1']
[464, 'ENSMUSG00000101462.2']
[465, 'ENSMUSG00000102336.1']
[466, 'ENSMUSG00000092852.1']
[467, 'ENSMUSG00000042111.9']
[468, 'ENSMUSG00000101711.1']
[469, 'ENSMUSG00000026127.9']
[470, 'ENSMUSG00000026126.11']
[471, 'ENSMUSG00000100280.2']
[472, 'ENSMUSG00000101223.2']
[473, 'ENSMUSG00000026125.5']
[474, 'ENSMUSG00000101116.1']
[475, 'ENSMUSG00000026124.4']
[476, 'ENSMUSG00000101803.1']
[477, 'ENSMUSG00000037529.9']
[478, 'ENSMUSG00000045815.4']
[479, 'ENSMUSG00000045174.10']
[480, 'ENSMUSG00000100524.1']
[481, 'ENSMUSG00000102499.1']
[482, 'ENSMUSG00000103521.1']
[483, 'ENSMUSG00000104098.1']
[484, 'ENSMUSG00000037509.14']
[485, 'ENSMUSG00000104492.1']
[486, 'ENSMUSG00000102537.1']
[487, 'ENSMUSG00000102612.1']
[488, 'ENSMUSG00000104002.1']
[489, 'ENSMUSG00000037503.8']
[490, 'ENSMUSG00000104358.1']
[491, 'ENSMUSG00000026123.7']
[492, 'ENSMUSG00000103716.1']
[493, 'ENSMUSG00000103548.1']
[494, 'ENSMUSG00000103760.1']
[495, 'ENSMUSG00000103997.1']
[496, 'ENSMUSG00000077231.1']
[497, 'ENSMUSG00000104417.1']
[498, 'ENSMUSG00000064601.1']
[499, 'ENSMUSG00000101714.1']
[500, 'ENSMUSG00000102531.1']
[501, 'ENSMUSG00000103096.1']
[502, 'ENSMUSG00000102279.1']
[503, 'ENSMUSG00000103708.1']
[504, 'ENSMUSG00000104201.1']
[505, 'ENSMUSG00000102434.1']
[506, 'ENSMUSG00000045216.7']
[507, 'ENSMUSG00000104523.1']
[508, 'ENSMUSG00000102202.1']
[509, 'ENSMUSG00000037470.10']
[510, 'ENSMUSG00000098752.1']
[511, 'ENSMUSG00000047180.8']
[512, 'ENSMUSG00000037447.12']
[513, 'ENSMUSG00000102762.1']
[514, 'ENSMUSG00000010453.8']
[515, 'ENSMUSG00000098680.1']
[516, 'ENSMUSG00000037432.12']
[517, 'ENSMUSG00000001143.9']
[518, 'ENSMUSG00000037408.10']
[519, 'ENSMUSG00000104316.1']
[520, 'ENSMUSG00000001138.9']
[521, 'ENSMUSG00000102845.1']
[522, 'ENSMUSG00000067653.7']
[523, 'ENSMUSG00000103661.1']
[524, 'ENSMUSG00000079610.4']
[525, 'ENSMUSG00000026121.9']
[526, 'ENSMUSG00000087589.3']
[527, 'ENSMUSG00000046337.13']
[528, 'ENSMUSG00000089906.1']
[529, 'ENSMUSG00000077939.1']
[530, 'ENSMUSG00000061518.6']
[531, 'ENSMUSG00000037351.5']
[532, 'ENSMUSG00000102416.1']
[533, 'ENSMUSG00000104237.1']
[534, 'ENSMUSG00000026117.10']
[535, 'ENSMUSG00000097291.1']
[536, 'ENSMUSG00000026116.7']
[537, 'ENSMUSG00000103016.1']
[538, 'ENSMUSG00000102930.1']
[539, 'ENSMUSG00000103159.1']
[540, 'ENSMUSG00000080054.3']
[541, 'ENSMUSG00000095944.1']
[542, 'ENSMUSG00000050122.14']
[543, 'ENSMUSG00000103603.1']
[544, 'ENSMUSG00000026114.10']
[545, 'ENSMUSG00000102231.1']
[546, 'ENSMUSG00000026113.13']
[547, 'ENSMUSG00000086064.1']
[548, 'ENSMUSG00000102879.1']
[549, 'ENSMUSG00000026112.7']
[550, 'ENSMUSG00000026111.11']
[551, 'ENSMUSG00000026110.11']
[552, 'ENSMUSG00000103948.1']
[553, 'ENSMUSG00000087233.1']
[554, 'ENSMUSG00000026090.12']
[555, 'ENSMUSG00000089767.1']
[556, 'ENSMUSG00000104365.1']
[557, 'ENSMUSG00000102650.1']
[558, 'ENSMUSG00000060771.10']
[559, 'ENSMUSG00000097268.1']
[560, 'ENSMUSG00000037216.5']
[561, 'ENSMUSG00000026088.11']
[562, 'ENSMUSG00000026087.7']
[563, 'ENSMUSG00000061584.6']
[564, 'ENSMUSG00000087374.1']
[565, 'ENSMUSG00000026085.7']
[566, 'ENSMUSG00000089141.1']
[567, 'ENSMUSG00000058407.8']
[568, 'ENSMUSG00000026083.8']
[569, 'ENSMUSG00000026082.7']
[570, 'ENSMUSG00000103804.1']
[571, 'ENSMUSG00000102716.1']
[572, 'ENSMUSG00000037138.12']
[573, 'ENSMUSG00000085391.1']
[574, 'ENSMUSG00000085280.1']
[575, 'ENSMUSG00000087131.3']
[576, 'ENSMUSG00000102984.1']
[577, 'ENSMUSG00000102541.1']
[578, 'ENSMUSG00000103531.1']
[579, 'ENSMUSG00000048814.6']
[580, 'ENSMUSG00000026080.9']
[581, 'ENSMUSG00000103647.1']
[582, 'ENSMUSG00000102447.1']
[583, 'ENSMUSG00000067604.4']
[584, 'ENSMUSG00000026078.6']
[585, 'ENSMUSG00000103046.1']
[586, 'ENSMUSG00000104188.1']
[587, 'ENSMUSG00000103182.1']
