[634, 'ENSG00000169914.5']
[635, 'ENSG00000188784.4']
[636, 'ENSG00000242688.2']
[637, 'ENSG00000188257.6']
[638, 'ENSG00000127472.6']
[639, 'ENSG00000117215.10']
[640, 'ENSG00000158786.4']
[641, 'ENSG00000227066.1']
[642, 'ENSG00000187980.6']
[643, 'ENSG00000225986.1']
[644, 'ENSG00000162543.5']
[645, 'ENSG00000228105.1']
[646, 'ENSG00000158816.11']
[647, 'ENSG00000226664.1']
[648, 'ENSG00000236963.1']
[649, 'ENSG00000226487.1']
[650, 'ENSG00000162545.5']
[651, 'ENSG00000090432.5']
[652, 'ENSG00000215520.3']
[653, 'ENSG00000183114.6']
[654, 'ENSG00000158825.5']
[655, 'ENSG00000158828.5']
[656, 'ENSG00000117242.7']
[657, 'ENSG00000257033.1']
[658, 'ENSG00000244038.5']
[659, 'ENSG00000117245.8']
[660, 'ENSG00000235432.1']
[661, 'ENSG00000189410.7']
[662, 'ENSG00000233069.1']
[663, 'ENSG00000127483.13']
[664, 'ENSG00000203394.2']
[665, 'ENSG00000075151.15']
[666, 'ENSG00000251914.1']
[667, 'ENSG00000221808.1']
[668, 'ENSG00000233072.1']
[669, 'ENSG00000236073.2']
[670, 'ENSG00000235112.1']
[671, 'ENSG00000266867.1']
[672, 'ENSG00000117298.10']
[673, 'ENSG00000236936.1']
[674, 'ENSG00000231105.1']
[675, 'ENSG00000236216.4']
[676, 'ENSG00000228823.1']
[677, 'ENSG00000236009.1']
[678, 'ENSG00000227001.2']
[679, 'ENSG00000187952.8']
[680, 'ENSG00000186543.7']
[681, 'ENSG00000142794.14']
[682, 'ENSG00000176378.8']
[683, 'ENSG00000162551.9']
[684, 'ENSG00000233431.1']
[685, 'ENSG00000221781.1']
[686, 'ENSG00000076864.15']
[687, 'ENSG00000090686.11']
[688, 'ENSG00000231978.2']
[689, 'ENSG00000187942.7']
[690, 'ENSG00000142798.12']
[691, 'ENSG00000232037.2']
[692, 'ENSG00000219073.3']
[693, 'ENSG00000264385.1']
[694, 'ENSG00000263991.1']
[695, 'ENSG00000201919.1']
[696, 'ENSG00000142789.15']
[697, 'ENSG00000263582.1']
[698, 'ENSG00000263929.1']
[699, 'ENSG00000201273.1']
[700, 'ENSG00000228397.1']
[701, 'ENSG00000218510.3']
[702, 'ENSG00000070831.11']
[703, 'ENSG00000230068.2']
[704, 'ENSG00000271428.1']
[705, 'ENSG00000271840.1']
[706, 'ENSG00000162552.10']
[707, 'ENSG00000266564.1']
[708, 'ENSG00000234397.3']
[709, 'ENSG00000184677.12']
[710, 'ENSG00000237200.1']
[711, 'ENSG00000070886.6']
[712, 'ENSG00000173372.12']
[713, 'ENSG00000159189.7']
[714, 'ENSG00000173369.11']
[715, 'ENSG00000133216.12']
[716, 'ENSG00000265422.1']
[717, 'ENSG00000216157.2']
[718, 'ENSG00000225952.1']
[719, 'ENSG00000264014.1']
[720, 'ENSG00000272796.1']
[721, 'ENSG00000215906.4']
[722, 'ENSG00000227868.2']
[723, 'ENSG00000004487.11']
[724, 'ENSG00000240553.1']
[725, 'ENSG00000263793.1']
[726, 'ENSG00000266802.1']
[727, 'ENSG00000169641.9']
[728, 'ENSG00000229010.1']
[729, 'ENSG00000206935.1']
