[422, 'ENSMUSG00000046994.8']
[423, 'ENSMUSG00000025977.9']
[424, 'ENSMUSG00000089944.2']
[425, 'ENSMUSG00000038349.8']
[426, 'ENSMUSG00000073674.3']
[427, 'ENSMUSG00000045336.4']
[428, 'ENSMUSG00000038331.8']
[429, 'ENSMUSG00000087022.1']
[430, 'ENSMUSG00000093027.1']
[431, 'ENSMUSG00000084958.1']
[432, 'ENSMUSG00000038323.2']
[433, 'ENSMUSG00000048495.9']
[434, 'ENSMUSG00000025971.5']
[435, 'ENSMUSG00000077776.1']
[436, 'ENSMUSG00000088353.1']
[437, 'ENSMUSG00000038305.7']
[438, 'ENSMUSG00000089176.1']
[439, 'ENSMUSG00000091283.1']
[440, 'ENSMUSG00000054770.9']
[441, 'ENSMUSG00000026039.8']
[442, 'ENSMUSG00000063558.4']
[443, 'ENSMUSG00000064294.6']
[444, 'ENSMUSG00000089275.1']
[445, 'ENSMUSG00000038242.6']
[446, 'ENSMUSG00000089822.1']
[447, 'ENSMUSG00000079554.1']
[448, 'ENSMUSG00000051223.8']
[449, 'ENSMUSG00000026034.10']
[450, 'ENSMUSG00000026035.9']
[451, 'ENSMUSG00000026036.10']
[452, 'ENSMUSG00000026037.8']
[453, 'ENSMUSG00000064701.1']
[454, 'ENSMUSG00000085054.2']
[455, 'ENSMUSG00000038174.8']
[456, 'ENSMUSG00000026032.8']
[457, 'ENSMUSG00000059647.4']
[458, 'ENSMUSG00000047528.7']
[459, 'ENSMUSG00000026031.9']
[460, 'ENSMUSG00000026029.8']
[461, 'ENSMUSG00000026028.6']
[462, 'ENSMUSG00000026027.7']
[463, 'ENSMUSG00000047383.6']
[464, 'ENSMUSG00000090590.1']
[465, 'ENSMUSG00000072295.4']
[466, 'ENSMUSG00000077616.1']
[467, 'ENSMUSG00000038079.7']
[468, 'ENSMUSG00000079550.2']
[469, 'ENSMUSG00000026024.8']
[470, 'ENSMUSG00000026023.9']
[471, 'ENSMUSG00000041075.7']
[472, 'ENSMUSG00000092149.1']
[473, 'ENSMUSG00000047361.8']
[474, 'ENSMUSG00000089276.1']
[475, 'ENSMUSG00000026021.9']
[476, 'ENSMUSG00000026020.2']
[477, 'ENSMUSG00000077345.1']
[478, 'ENSMUSG00000077358.1']
[479, 'ENSMUSG00000089512.1']
[480, 'ENSMUSG00000089093.1']
[481, 'ENSMUSG00000067336.4']
[482, 'ENSMUSG00000041040.6']
[483, 'ENSMUSG00000026018.6']
[484, 'ENSMUSG00000026019.9']
[485, 'ENSMUSG00000026017.5']
[486, 'ENSMUSG00000082609.1']
[487, 'ENSMUSG00000073664.4']
[488, 'ENSMUSG00000049439.7']
[489, 'ENSMUSG00000026782.8']
[490, 'ENSMUSG00000026014.7']
[491, 'ENSMUSG00000081562.1']
[492, 'ENSMUSG00000084400.1']
